Name_Projektpartner;Institution
Institut für Sozialwissenschaftliche Forschung e.V. – ISF München;Institut für Sozialwissenschaftliche Forschung e.V. – ISF München
Institut für Sozialwissenschaftliche Forschung München e.V.;Institut für Sozialwissenschaftliche Forschung München e.V.
Katholische Hospitalvereinigung Ostwestfalen gem. GmbH (KHO);Katholische Hospitalvereinigung Ostwestfalen gem. GmbH (KHO)
Kliniken Essen-Mitte (KEM);Kliniken Essen-Mitte (KEM)
Kreisverwaltung Vorpommern-Greifswald;Kreisverwaltung Vorpommern-Greifswald
KS Systec Dr. Schmidbauer GmbH & Co. KG;KS Systec Dr. Schmidbauer GmbH & Co. KG
Kunst-stoff GmbH;Kunst-stoff GmbH
Mahr GmbH;Mahr GmbH
MATERNA GmbH TMT;MATERNA GmbH TMT
Multiwatt Energiesysteme GmbH;Multiwatt Energiesysteme GmbH
N.U.R.E.C.-Institute e.V.;N.U.R.E.C.-Institute e.V.
NILES-SIMMONS Industrieanlagen GmbH ;NILES-SIMMONS Industrieanlagen GmbH 
Phenox GmbH;Phenox GmbH
Private Universität Witten/Herdecke ;Private Universität Witten/Herdecke 
Profilator GmbH & Co. KG ;Profilator GmbH & Co. KG 
QSC AG;QSC AG
Qualitus GmbH;Qualitus GmbH
Reifenhäuser REIFCOFIL GmbH & Co. KG;Reifenhäuser REIFCOFIL GmbH & Co. KG
Rheinisch-Westfälische Technische Hochschule Aachen;Rheinisch-Westfälische Technische Hochschule Aachen
Rhein-Ruhr Institut für angewandte Systeminnovation e.V. ;Rhein-Ruhr Institut für angewandte Systeminnovation e.V. 
Ruhr-Universität Bochum;Ruhr-Universität Bochum
SAMAG – Saalfelder Werkzeugmaschinen GmbH ;SAMAG – Saalfelder Werkzeugmaschinen GmbH 
Siemens AG;Siemens AG
Silbitz Guss GmbH;Silbitz Guss GmbH
SMK Röhrsdorf GmbH;SMK Röhrsdorf GmbH
SMS Elotherm GmbH;SMS Elotherm GmbH
Stahl- und Metallbau Ihnen GmbH Co. KG;Stahl- und Metallbau Ihnen GmbH Co. KG
Suiker Unie GmbH & Co. KG;Suiker Unie GmbH & Co. KG
TAT International GmbH ;TAT International GmbH 
TDS Informationstechnologie AG;TDS Informationstechnologie AG
Technische Hochschule Wildau (FH) ;Technische Hochschule Wildau (FH) 
Technische Universität Carolo-Wilhelmina zu Braunschweig;Technische Universität Carolo-Wilhelmina zu Braunschweig
Technische Universität Chemnitz ;Technische Universität Chemnitz 
Technische Universität Chemnitz (TUC) ;Technische Universität Chemnitz (TUC) 
Technische Universität Darmstadt ;Technische Universität Darmstadt 
Technische Universität Dortmund;Technische Universität Dortmund
Technische Universität München;Technische Universität München
TOPSTAR GmbH ;TOPSTAR GmbH 
TRUMPF GmbH & Co. KG ;TRUMPF GmbH & Co. KG 
